iter	MultiClass
0	1.088288521
1	1.079392778
2	1.072631222
3	1.063122863
4	1.055607923
5	1.049147332
6	1.040826112
7	1.034312887
8	1.025902308
9	1.021470826
10	1.016232008
11	1.00839408
12	1.002603294
13	0.9934325083
14	0.987535428
15	0.9814712038
16	0.9767807988
17	0.9679272624
18	0.9638822985
19	0.9583471607
20	0.9524965077
21	0.9468349662
22	0.9437559843
23	0.9354943303
24	0.9310433774
25	0.9249697704
26	0.9200327642
27	0.9164147807
28	0.9122867995
29	0.906457272
30	0.9015195673
31	0.8963087243
32	0.8919382878
33	0.8855148398
34	0.8811458623
35	0.8770086427
36	0.8709788314
37	0.8656827294
38	0.861387924
39	0.8565556868
40	0.852838745
41	0.8480671017
42	0.844099073
43	0.8422596527
44	0.8386018946
45	0.8333371624
46	0.8281277343
47	0.8253778643
48	0.8221367134
49	0.817826549
50	0.8131255068
51	0.8094257113
52	0.8058095033
53	0.8028202236
54	0.8001417965
55	0.7973349331
56	0.7945407642
57	0.7905994378
58	0.7861583222
59	0.7833463007
60	0.7800871199
61	0.7772772118
62	0.7721923628
63	0.7696622803
64	0.7651902361
65	0.7627920166
66	0.7587575445
67	0.7558877898
68	0.7536545109
69	0.7511842082
70	0.7480572531
71	0.7459471388
72	0.7424845465
73	0.7400327464
74	0.7379685731
75	0.734488461
76	0.7323568972
77	0.7291114664
78	0.7252912582
79	0.7228307892
80	0.719842588
81	0.71810869
82	0.7155674736
83	0.712787485
84	0.7103308055
85	0.7086162524
86	0.7054740196
87	0.7027260081
88	0.6998387679
89	0.6980896577
90	0.6953925508
91	0.6932493126
92	0.6911328676
93	0.6884465764
94	0.6861590208
95	0.6820607089
96	0.6784983529
97	0.6758531846
98	0.6725448371
99	0.6704239374
100	0.6683481707
101	0.6671123511
102	0.6649444145
103	0.6622067236
104	0.6580459953
105	0.6558744119
106	0.6528840227
107	0.6502177585
108	0.64845155
109	0.6469859127
110	0.6446972154
111	0.6425575538
112	0.6401001549
113	0.6380860249
114	0.6360882783
115	0.6319283864
116	0.6288566214
117	0.6269085137
118	0.6255625296
119	0.6230117295
120	0.6201854523
121	0.6167427714
122	0.6151576316
123	0.6129885002
124	0.6087752449
125	0.6057970068
126	0.6037307973
127	0.6014581007
128	0.6002800497
129	0.5982648798
130	0.5965430869
131	0.5939959491
132	0.5929645309
133	0.591472844
134	0.5896506842
135	0.5882906857
136	0.5861021533
137	0.5829663176
138	0.5812709946
139	0.5787027236
140	0.5762483104
141	0.5745739614
142	0.573092812
143	0.5709599361
144	0.5695250316
145	0.5680904283
146	0.5659214181
147	0.563084142
148	0.5612235387
149	0.5593626109
150	0.5580023966
151	0.5558718232
152	0.5539185118
153	0.5523188566
154	0.5505373233
155	0.5490580342
156	0.5477070917
157	0.5445988264
158	0.5430189908
159	0.5408540776
160	0.539019374
161	0.5374806605
162	0.5362685165
163	0.5344553798
164	0.5329138384
165	0.5318483257
166	0.5301237899
167	0.5282089387
168	0.5265296243
169	0.5237074893
170	0.521852242
171	0.5205662925
172	0.5181893392
173	0.5168964157
174	0.5150181198
175	0.5126904393
176	0.5108110223
177	0.508406486
178	0.5063460624
179	0.5048637266
180	0.5032998732
181	0.501229083
182	0.5000582595
183	0.499443239
184	0.4976817018
185	0.4959859371
186	0.4942303874
187	0.4927834498
188	0.4915710792
189	0.4903999473
190	0.4895501714
191	0.4870829486
192	0.484984347
193	0.4838244748
194	0.4821565075
195	0.4812247656
196	0.4790654676
197	0.477967041
198	0.4769896147
199	0.4749780404
200	0.4741872641
201	0.4726574105
202	0.4705236252
203	0.4691325957
204	0.4680280735
205	0.4658997696
206	0.4649320472
207	0.4627889996
208	0.4619609645
209	0.4607620726
210	0.4596087612
211	0.4586179779
212	0.4576762337
213	0.4564632899
214	0.4554969232
215	0.4543811766
216	0.4536156649
217	0.4527116605
218	0.4511004274
219	0.4499239552
220	0.44895588
221	0.4469610116
222	0.4454336881
223	0.4442293993
224	0.4428155622
225	0.4412822137
226	0.4395931229
227	0.4379470822
228	0.4367609608
229	0.4357169388
230	0.4334076482
231	0.4321923722
232	0.4315525546
233	0.4297386634
234	0.428374273
235	0.4274380485
236	0.4270039845
237	0.4260010404
