iter	Passed	Remaining
0	64	64325
1	66	33363
2	69	23018
3	71	17874
4	73	14665
5	75	12517
6	77	10970
7	79	9867
8	81	8978
9	83	8243
10	84	7632
11	86	7146
12	88	6751
13	90	6400
14	92	6084
15	94	5809
16	97	5624
17	99	5422
18	102	5292
19	105	5149
20	107	4994
21	109	4857
22	111	4733
23	113	4631
24	115	4501
25	117	4392
26	118	4288
27	120	4189
28	122	4105
29	124	4023
30	125	3937
31	127	3865
32	129	3804
33	131	3741
34	133	3673
35	134	3608
36	136	3562
37	138	3509
38	140	3453
39	142	3420
40	146	3426
41	151	3445
42	154	3439
43	156	3406
44	160	3410
45	164	3407
46	169	3430
47	171	3408
48	174	3377
49	176	3346
50	178	3321
51	180	3293
52	183	3285
53	187	3283
54	189	3261
55	193	3256
56	196	3256
57	203	3302
58	206	3291
59	210	3291
60	214	3297
61	217	3284
62	219	3259
63	220	3230
64	222	3202
65	224	3180
66	226	3154
67	228	3128
68	229	3101
69	232	3083
70	233	3060
71	235	3036
72	237	3011
73	238	2988
74	240	2966
75	242	2945
76	244	2926
77	245	2905
78	247	2885
79	249	2869
80	251	2850
81	253	2833
82	254	2815
83	256	2798
84	258	2781
85	260	2764
86	262	2749
87	264	2737
88	266	2726
89	268	2710
90	269	2694
91	271	2678
92	273	2665
93	275	2652
94	277	2643
95	279	2630
96	281	2621
97	284	2614
98	286	2603
99	287	2590
100	290	2584
101	292	2572
102	293	2560
103	295	2548
104	297	2538
105	299	2527
106	301	2515
107	303	2509
108	305	2499
109	307	2490
110	309	2479
111	311	2468
112	313	2462
113	315	2451
114	317	2441
115	319	2431
116	320	2420
117	322	2411
118	324	2401
119	326	2393
120	328	2384
121	330	2378
122	332	2372
123	334	2363
124	336	2355
125	339	2352
126	341	2346
127	343	2339
128	345	2332
129	347	2326
130	349	2319
131	351	2313
132	353	2305
133	355	2300
134	358	2294
135	359	2286
136	361	2280
137	364	2273
138	365	2266
139	367	2258
140	369	2250
141	371	2244
142	373	2238
143	375	2232
144	377	2225
145	379	2220
146	381	2215
147	384	2212
148	386	2208
149	388	2204
150	392	2206
151	394	2202
152	397	2203
153	400	2199
154	403	2202
155	407	2205
156	414	2225
157	418	2229
158	421	2231
159	424	2227
160	426	2222
161	429	2220
162	431	2215
163	433	2210
164	435	2205
165	437	2199
166	439	2193
167	441	2187
168	444	2185
169	446	2182
170	449	2178
171	451	2174
172	453	2169
173	456	2166
174	458	2163
175	461	2162
176	464	2159
177	466	2156
178	469	2154
179	473	2157
180	478	2164
181	480	2160
182	483	2156
183	485	2153
184	488	2151
185	491	2151
186	494	2148
187	496	2145
188	499	2144
189	502	2142
190	506	2143
191	509	2143
192	512	2141
193	514	2138
194	517	2136
195	520	2134
196	522	2131
197	526	2131
198	528	2128
199	531	2125
200	534	2123
201	537	2122
202	539	2120
203	542	2118
204	545	2115
205	548	2114
