iter	MultiClass
0	1.092752761
1	1.08712016
2	1.083129117
3	1.077580105
4	1.072183668
5	1.065319147
6	1.060899584
7	1.054486197
8	1.049218074
9	1.045422235
10	1.040873554
11	1.034137133
12	1.030168406
13	1.026171389
14	1.022315416
15	1.018463207
16	1.015243841
17	1.011066546
18	1.007273029
19	1.003564945
20	1.000758469
21	0.9959401298
22	0.9923382818
23	0.9889652352
24	0.9858577925
25	0.9834058519
26	0.9803414679
27	0.9777863218
28	0.973263658
29	0.9700046677
30	0.9660474247
31	0.9622793135
32	0.9590221352
33	0.9571421322
34	0.9541247582
35	0.9508601649
36	0.9480415464
37	0.9454803037
38	0.9423656943
39	0.9390906107
40	0.9360890751
41	0.9336803264
42	0.9299669155
43	0.9280812855
44	0.9259234261
45	0.9235531358
46	0.9211673564
47	0.9186398532
48	0.9169174706
49	0.91414654
50	0.9118598581
51	0.9096398553
52	0.9075094191
53	0.9059207729
54	0.9034377443
55	0.9013437648
56	0.8986093958
57	0.8971297172
58	0.8949845046
59	0.892983087
60	0.8905804796
61	0.888779618
62	0.8864076141
63	0.8843746438
64	0.8824350652
65	0.8798343797
66	0.8771684794
67	0.8756219598
68	0.874124603
69	0.8723846275
70	0.8698210669
71	0.8667739994
72	0.8643885113
73	0.8632054386
74	0.8611905714
75	0.8600016104
76	0.8584812058
77	0.8568473315
78	0.8552413187
79	0.8538204047
80	0.851030823
81	0.8500429044
82	0.8484100534
83	0.8467135188
84	0.8446033768
85	0.8427552195
86	0.8405282777
87	0.8388295508
88	0.8365407632
89	0.8343737188
90	0.8323808609
91	0.8312862552
92	0.8296577559
93	0.8271965491
94	0.8258168017
95	0.8241361988
96	0.8228115129
97	0.8211659372
98	0.8199173651
99	0.8182096965
100	0.8166335983
101	0.8147014075
102	0.8132742719
103	0.8122948153
104	0.8113954809
105	0.8103286374
106	0.8087331214
107	0.8075397852
108	0.8055226263
109	0.8038412042
110	0.8018237577
111	0.8007869614
112	0.7986593293
113	0.7970690469
114	0.7956144491
115	0.7947512258
116	0.7925767697
117	0.7913760158
118	0.7902711338
119	0.7884578335
120	0.7870834923
121	0.786164858
122	0.7852570006
123	0.7841057029
124	0.7821243039
125	0.7798460857
126	0.77905427
127	0.7773649432
128	0.7750208864
129	0.7735649652
130	0.772164292
131	0.7705171764
132	0.7683904848
133	0.7674883613
134	0.7659336839
135	0.7644229683
136	0.7635823266
137	0.7619989
138	0.7603728472
139	0.7590138584
140	0.7578817274
141	0.7570148193
142	0.7555750431
143	0.7543571817
144	0.7522028887
145	0.751083704
146	0.7502801245
147	0.7489212337
148	0.7473056986
149	0.7448379946
150	0.7426541211
151	0.7420698399
152	0.7411005534
153	0.739319052
154	0.7375989506
155	0.735966823
156	0.7341269966
157	0.7328315081
158	0.7311515566
159	0.730307361
160	0.7287430468
161	0.7277613475
162	0.7261787836
163	0.7250860086
164	0.7244281485
165	0.7228155868
166	0.7219459911
167	0.7211795611
168	0.7196579333
169	0.7186365504
170	0.7169947349
171	0.7155987507
172	0.7149269709
173	0.7138203013
174	0.7126674485
175	0.7119184033
176	0.7108670341
177	0.7091093367
178	0.7082203092
179	0.707020351
180	0.7061156054
181	0.7055142498
182	0.7042181904
183	0.7027039572
184	0.7009623635
185	0.6991151767
186	0.6980435216
187	0.6958309484
