iter	Passed	Remaining
0	64	32231
1	66	16497
2	67	11256
3	69	8673
4	72	7161
5	74	6099
6	76	5352
7	77	4772
8	79	4339
9	81	3975
10	83	3719
11	85	3470
12	87	3260
13	89	3098
14	91	2946
15	93	2814
16	95	2713
17	97	2616
18	100	2534
19	102	2460
20	104	2392
21	106	2323
22	108	2252
23	110	2190
24	112	2137
25	114	2085
26	116	2036
27	118	1991
28	119	1946
29	122	1911
30	123	1869
31	125	1831
32	126	1794
33	128	1760
34	130	1732
35	132	1703
36	134	1680
37	136	1654
38	138	1639
39	140	1619
40	142	1596
41	145	1583
42	147	1568
43	149	1553
44	151	1533
45	154	1525
46	156	1512
47	158	1493
48	160	1475
49	162	1460
50	164	1446
51	166	1430
52	167	1416
53	170	1406
54	172	1392
55	173	1379
56	176	1368
57	177	1355
58	179	1342
59	181	1330
60	183	1319
61	185	1307
62	187	1301
63	189	1290
64	191	1279
65	192	1268
66	194	1258
67	196	1248
68	198	1238
69	200	1230
70	202	1224
71	204	1217
72	206	1208
73	208	1199
74	210	1194
75	212	1188
76	214	1179
77	216	1170
78	218	1165
79	220	1158
80	222	1151
81	224	1144
82	226	1137
83	228	1130
84	230	1124
85	233	1122
86	235	1117
87	237	1110
88	238	1103
89	240	1096
90	242	1091
91	244	1085
92	246	1079
93	248	1074
94	251	1070
95	253	1065
96	255	1059
97	257	1055
98	259	1049
99	260	1043
100	262	1038
101	264	1032
102	266	1027
103	268	1023
104	270	1017
105	272	1012
106	274	1009
107	276	1004
108	278	999
109	280	995
110	283	995
111	286	992
112	288	987
113	290	982
114	292	977
115	293	973
116	295	968
117	297	964
118	300	961
119	302	957
120	304	952
121	305	947
122	307	943
123	309	939
124	311	935
125	313	931
126	316	928
127	317	923
128	319	920
129	321	915
130	323	911
131	325	907
132	327	903
133	329	900
134	332	897
135	333	893
136	335	890
137	337	886
138	340	884
139	344	886
140	347	883
141	350	882
142	352	880
143	354	876
144	356	872
145	358	869
146	361	866
147	363	863
148	365	861
149	367	858
150	370	855
151	372	853
152	375	851
153	378	849
154	381	849
155	384	846
156	386	844
157	389	842
158	392	841
159	394	838
160	398	838
161	400	835
162	402	833
163	405	830
164	408	828
165	410	826
166	414	825
167	416	823
168	419	822
169	422	820
170	425	818
171	428	817
172	431	816
173	434	814
174	437	813
175	441	811
176	443	810
177	447	809
178	451	808
179	455	809
180	459	810
181	465	813
182	470	814
183	473	813
184	480	817
185	483	816
186	487	816
187	491	816
188	497	818
189	501	818
190	506	818
191	512	821
192	516	820
193	519	819
194	523	818
195	530	823
196	539	830
197	548	837
198	555	840
199	561	841
200	564	840
201	569	840
202	578	846
203	584	847
204	590	850
205	596	851
206	605	856
207	612	859
208	618	860
209	624	862
210	628	861
211	632	859
212	639	861
213	645	862
214	650	862
215	656	862
216	659	860
217	664	859
218	671	862
219	681	867
220	690	872
221	713	893
222	722	897
223	730	899
224	741	906
225	746	905
226	756	910
227	762	909
228	799	945
229	808	949
230	811	945
231	817	944
232	822	941
233	825	938
234	828	934
235	833	932
236	837	929
237	842	927
238	846	924
239	851	922
240	855	919
241	858	915
242	861	911
243	867	910
244	872	908
245	876	905
246	884	905
247	888	902
248	892	899
249	898	898
250	904	896
251	908	894
252	916	895
253	922	893
254	926	890
255	934	890
256	941	890
257	948	889
258	954	887
259	958	884
260	966	884
261	972	883
262	982	885
263	996	890
264	1002	888
265	1012	890
266	1017	887
267	1023	886
268	1030	885
269	1035	882
270	1041	880
271	1047	878
272	1051	874
273	1057	872
274	1074	879
275	1086	882
276	1098	884
277	1102	880
278	1112	880
279	1125	884
280	1134	884
281	1147	887
282	1156	886
283	1161	883
284	1167	880
285	1180	883
286	1189	882
287	1195	879
288	1201	877
289	1214	879
290	1224	879
291	1228	875
292	1238	875
293	1243	871
294	1257	873
295	1264	871
296	1273	870
297	1278	866
298	1283	862
299	1290	860
300	1298	858
301	1306	856
302	1310	852
303	1319	850
304	1323	846
305	1328	841
306	1345	845
307	1353	843
308	1360	840
309	1369	839
310	1381	839
311	1386	835
312	1400	836
313	1417	839
314	1425	837
315	1433	834
316	1451	837
317	1458	834
318	1467	832
319	1476	830
320	1482	826
321	1491	824
322	1500	822
323	1512	821
324	1520	818
325	1528	815
326	1542	815
327	1562	819
328	1575	819
329	1585	816
330	1591	812
331	1596	807
332	1614	809
333	1620	805
334	1624	800
335	1632	796
336	1638	792
337	1642	787
338	1648	783
339	1653	778
340	1659	773
341	1665	769
342	1669	764
343	1674	759
344	1680	754
345	1684	749
346	1688	744
347	1692	739
348	1697	734
349	1701	729
350	1706	724
351	1713	720
352	1717	715
353	1720	709
354	1726	705
355	1731	700
356	1735	695
357	1741	690
358	1745	685
359	1749	680
360	1759	677
361	1763	672
362	1767	667
363	1771	661
364	1776	657
365	1781	652
366	1787	647
367	1795	643
368	1800	639
369	1806	634
370	1809	629
371	1813	623
372	1816	618
373	1820	613
374	1824	608
375	1827	602
376	1831	597
377	1834	592
378	1839	587
379	1841	581
380	1844	576
381	1847	570
382	1850	565
383	1854	560
384	1857	554
385	1861	549
386	1864	544
387	1867	539
388	1871	533
389	1873	528
390	1876	523
391	1879	517
392	1882	512
393	1885	507
394	1889	502
395	1891	496
396	1894	491
397	1897	486
398	1899	480
399	1903	475
400	1906	470
401	1909	465
402	1911	460
403	1914	454
404	1918	450
405	1921	444
406	1924	439
407	1926	434
408	1929	429
409	1933	424
410	1936	419
411	1939	414
412	1941	409
413	1944	403
414	1947	398
415	1951	393
416	1953	388
417	1956	383
418	1959	378
419	1961	373
420	1965	368
421	1967	363
422	1970	358
423	1973	353
424	1975	348
425	1978	343
426	1981	338
427	1984	333
428	1986	328
429	1989	323
430	1991	318
431	1994	313
432	1996	308
433	1999	304
434	2001	299
435	2004	294
436	2006	289
437	2009	284
438	2011	279
439	2014	274
440	2017	269
441	2019	265
442	2022	260
443	2025	255
444	2027	250
445	2030	245
446	2032	241
447	2035	236
448	2038	231
449	2041	226
450	2043	222
451	2046	217
452	2048	212
453	2051	207
454	2053	203
455	2056	198
456	2058	193
457	2061	189
458	2064	184
459	2067	179
460	2070	175
461	2085	171
462	2088	166
463	2091	162
464	2093	157
465	2097	153
466	2100	148
467	2103	143
468	2105	139
469	2108	134
470	2111	130
471	2114	125
472	2116	120
473	2119	116
474	2122	111
475	2124	107
476	2127	102
477	2130	98
478	2132	93
479	2135	88
480	2137	84
481	2140	79
482	2143	75
483	2146	70
484	2149	66
485	2152	62
486	2155	57
487	2158	53
488	2161	48
489	2163	44
490	2166	39
491	2169	35
492	2172	30
493	2175	26
494	2178	22
495	2181	17
496	2184	13
497	2187	8
498	2189	4
499	2193	0
