iter	MultiClass
0	1.061881409
1	1.028713406
2	1.004316862
3	0.9812506633
4	0.9612421288
5	0.9442111115
6	0.9304161404
7	0.9156139663
8	0.9049432168
9	0.8947450038
10	0.8863771368
11	0.8752872125
12	0.8679519594
13	0.8609817751
14	0.854349111
15	0.8484841075
16	0.8425788739
17	0.8364174771
18	0.8317144374
19	0.8266436292
20	0.8214196715
21	0.8161604567
22	0.8098838041
23	0.8046546583
24	0.7992269869
25	0.7951404955
26	0.7910070817
27	0.785428197
28	0.7830645068
29	0.780309039
30	0.7769547613
31	0.7740148011
32	0.7709573324
33	0.7670821033
34	0.7632116372
35	0.7608344157
36	0.757837381
37	0.7538802801
38	0.7506960508
39	0.7483658351
40	0.745874431
41	0.7440084629
42	0.741489245
43	0.7385888406
44	0.7361614784
45	0.732222037
46	0.7290394709
47	0.7271742333
48	0.7252649214
49	0.7221079515
50	0.718995429
51	0.7155130561
52	0.7116924357
53	0.7103211023
54	0.7058855596
55	0.7039674147
56	0.7025703342
57	0.6984767871
58	0.6949922176
59	0.6931517028
60	0.690167295
61	0.6882829724
62	0.6863929671
63	0.6841288603
64	0.6806581239
65	0.6776144619
66	0.6752405147
67	0.6728491648
68	0.670663225
69	0.6666132579
70	0.6631827017
71	0.6612594348
72	0.6573665238
73	0.6562208348
74	0.6519834748
75	0.6506401391
76	0.6477626887
77	0.6434538852
78	0.6423778694
79	0.6405021399
80	0.6386584799
81	0.6333775068
82	0.631781784
83	0.6301073014
84	0.6268103088
85	0.6248172111
86	0.6216907622
87	0.6199981221
88	0.6164976629
89	0.6138710567
90	0.6113465328
91	0.6063625585
92	0.6050285085
93	0.6022054706
94	0.6006623075
95	0.5965767903
96	0.5942390364
97	0.5908678584
98	0.5889149621
99	0.5861974055
