iter	Passed	Remaining
0	60	6018
1	62	3041
2	63	2059
3	65	1562
4	66	1262
5	67	1062
6	69	926
7	71	816
8	72	737
9	74	672
10	76	615
11	77	567
12	78	527
13	80	495
14	82	468
15	84	442
16	85	417
17	86	395
18	88	376
19	89	358
20	91	342
21	92	327
22	93	313
23	95	300
24	96	290
25	98	281
26	101	274
27	103	266
28	105	259
29	108	252
30	110	245
31	113	241
32	115	235
33	117	228
34	120	223
35	123	219
36	125	213
37	126	206
38	128	200
39	130	195
40	132	190
41	134	186
42	137	182
43	141	180
44	143	175
45	145	170
46	147	166
47	149	162
48	150	157
49	152	152
50	154	148
51	155	143
52	157	139
53	158	135
54	160	131
55	162	127
56	164	123
57	166	120
58	168	116
59	171	114
60	174	111
61	180	110
62	182	107
63	185	104
64	187	100
65	188	97
66	190	93
67	192	90
68	193	86
69	195	83
70	197	80
71	199	77
72	201	74
73	203	71
74	205	68
75	206	65
76	209	62
77	216	60
78	218	58
79	220	55
80	222	52
81	225	49
82	227	46
83	230	43
84	234	41
85	236	38
86	239	35
87	242	33
88	244	30
89	247	27
90	250	24
91	252	21
92	254	19
93	257	16
94	259	13
95	262	10
96	266	8
97	269	5
98	272	2
99	276	0
